Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Wendy Agnew,1111.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
Peter Bellarby,354.0,380.2568400000005,398.7716800000004,433.7716800000003,617.7220200000002,633.9794400000001,660.86419,734.9802099999999,860.62192
Raymond Christie,404.0,414.81164,427.84132000000005,463.35616,486.64326000000005,501.9006799999999,530.56476,590.77725,617.7586200000001
Graeme Clark,667.0,684.2471400000002,713.0194,741.2768200000003,762.3065,1052.65296,825.0,825.0,825.0
Robert Fergusson,311.0,314.8613,335.37613999999996,353.1484,371.69292,0.0,0.0,0.0,0.0
David Fleming,275.0,297.91038000000003,319.4549,347.48458000000005,0.0,0.0,0.0,0.0,0.0
Jeff Hutchison,278.0,404.90805999999986,426.4525799999999,437.9970999999999,458.8880799999999,462.88807999999995,474.26419999999996,526.82114,0.0
Bob Michie,241.0,258.24713999999994,321.13811999999996,378.1678,411.02909999999997,425.02909999999997,462.83818999999994,0.0,0.0
Douglas Samways,224.0,243.04907999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rachel Shanks,255.0,263.49486,286.81164,0.0,0.0,0.0,0.0,0.0,0.0
