Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
George Doyle,125.0,126.88347000000002,136.08173000000002,0.0,0.0,0.0,0.0,0.0,0.0
Louise Anne Glen-Lee,707.0,715.624309999999,721.9216999999989,732.0208299999989,727.0,727.0,727.0,727.0,727.0
Iain Angus Macdonald,361.0,372.6973400000001,379.9947300000001,410.78777000000014,411.12877999999995,437.84890999999993,476.75293,542.56467,645.26704
Duncan Macintyre,421.0,436.1668900000001,443.6625400000001,471.86080000000004,472.17374000000007,509.56841,611.27866,726.74955,811.3822
Neil Mackay,222.0,231.31822000000014,239.01213000000013,243.11126000000013,243.29122000000012,264.2893700000001,0.0,0.0,0.0
Wilma Mcintosh,58.0,61.27129000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donald Melville,410.0,415.94780000000003,420.04693000000003,445.1460600000001,448.7582399999999,471.0094499999999,517.1648799999999,541.88068,0.0
Gwyneth Neal,188.0,196.72344000000007,201.11996000000008,206.31822000000003,206.54829000000007,0.0,0.0,0.0,0.0
Elaine Robertson,807.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0
Roy Rutherford,332.0,340.1286600000001,343.32692000000003,353.5251800000001,353.60321,384.4168,409.21051,0.0,0.0
