Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Marion Donaldson,1602.0,1605.0,1617.0,1692.0,1715.9609600000003,1821.5618,2529.7914,2130.0,2130.0
Nick Gardner,793.0,795.0,803.0,839.0,849.2763600000002,912.6706399999999,0.0,0.0,0.0
David Don Jacobsen,66.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristina Marga,1536.0,1541.0,1544.0,1600.0,1602.63364,1683.2016800000001,1719.30496,1784.45929,0.0
Amy Mcneese-Mechan,1770.0,1772.0,1777.0,1788.0,1817.5380799999994,1870.9135199999996,1912.89468,1971.40116,2107.6584199999998
Alan Gordon Melville,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Susan Rae,2097.0,2105.0,2125.0,2246.0,2130.0,2130.0,2130.0,2130.0,2130.0
Lewis Ritchie,1900.0,1901.0,1903.0,1923.0,1949.3880399999982,2052.24708,2090.4347999999995,2125.98993,2209.37287
Harald Tobermann,432.0,459.0,463.0,511.0,522.5673600000001,0.0,0.0,0.0,0.0
Vita Zaporozcenko,398.0,400.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0
