Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Jule Bandel,1714.0,1740.1150799999998,1740.1150799999998,1741.3928999999998,1751.5318099999997,1767.8096299999997,2221.6438500000004,2379.82675,2383.67173,2958.95107
Stuart Herring,853.0,863.14043,863.14043,867.14043,889.2793399999999,0.0,0.0,0.0,0.0,0.0
Phil Holden,96.0,97.38910000000001,98.38910000000001,109.3891,0.0,0.0,0.0,0.0,0.0,0.0
Tam Laird,53.0,53.555640000000004,53.555640000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Mcnamara,17.0,17.27782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Mitchell,1836.0,1877.5340899999999,1878.673,1883.8119100000001,1896.8119100000001,2643.6461299999996,2767.5632399999995,2767.56324,2684.0,2684.0
Mhairi Munro-Brian,1684.0,1713.0321899999994,1715.0321899999994,1721.0321899999997,1736.1710999999996,1755.3100099999997,0.0,0.0,0.0,0.0
Vicky Nicolson,2641.0,2657.2524699999994,2659.2524699999994,2663.2524699999994,2668.3913799999996,2683.3913799999996,2936.7528499999994,2684.0,2684.0,2684.0
Hal Osler,3117.0,2684.0,2684.0,2684.0,2684.0,2684.0,2684.0,2684.0,2684.0,2684.0
Malcolm Alexander Wood,1405.0,1700.6004800000003,1702.7393900000004,1711.7393900000009,1725.2950300000005,1765.0732300000004,2275.5474999999997,2303.03398,2337.75848,0.0
