Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Mohammed Ahmed,176.0,176.42140000000003,179.48160000000004,182.51170000000005,182.75366000000002,194.88416000000004,207.07726000000002,218.19766,0.0
Neil Campbell,91.0,91.48159999999999,92.51169999999999,0.0,0.0,0.0,0.0,0.0,0.0
Iain Maclean Macaulay,103.0,103.54180000000002,109.57190000000003,117.66220000000001,118.38346,145.71872000000002,177.3354,221.89386,249.02478000000002
Jackie Mackay,89.0,89.78259999999997,95.81269999999998,108.05350000000001,108.80497999999999,123.23845999999999,0.0,0.0,0.0
Roddie Mackay,262.0,264.07690000000014,272.07690000000014,294.13710000000003,290.0,290.0,290.0,290.0,290.0
Iain Mackenzie,299.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
David Morrison,92.0,93.0836,97.14380000000001,104.1438,104.77817999999999,0.0,0.0,0.0,0.0
Gordon Murray,174.0,174.66220000000004,180.66220000000004,192.69230000000002,193.24316000000005,208.40376000000006,228.67112,251.11272000000002,358.36404
Murdo Angus Murray,120.0,121.80600000000001,123.80600000000001,128.8361,129.39032,142.56582,160.96608,0.0,0.0
Kevin Paterson,40.0,40.2408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
