Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Cathy Adamson,83.0,85.17408,0.0,0.0,0.0,0.0,0.0,0.0
Bill Brown,910.0,921.9574399999999,931.2291999999998,932.4740999999997,945.7458599999998,956.0388599999999,972.3518999999998,1064.66868
Betty Campbell,1424.0,1037.0,1037.0,1037.0,1037.0,1037.0,1037.0,1037.0
Altany Craik,708.0,1034.9272799999983,1051.4707999999985,1037.0,1037.0,1037.0,1037.0,1037.0
Claire Dawson,271.0,283.2292,291.77272000000005,294.4863599999999,310.1286,371.00131999999996,478.06176,488.6227799999999
Peter Grant,941.0,948.8810399999998,958.1527999999998,959.2251,966.5181,975.5180999999999,1018.8223199999996,1263.1615400000003
Patricia Irvine,155.0,156.90232,169.17408,169.51137999999997,170.78314,0.0,0.0,0.0
Ian Robertson,147.0,149.98936,158.26112,159.34704,0.0,0.0,0.0,0.0
Robert James Taylor,192.0,196.34816,202.34816,203.19162,290.50798,318.7946999999999,0.0,0.0
Craig Walker,349.0,350.3588,351.3588,351.63011999999986,353.90187999999984,356.90187999999984,368.93059999999997,0.0
