Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Ian Crichton,151.0,151.88103999999998,169.99116999999998,214.21142999999998,230.32155999999998,257.43169,0.0,0.0,0.0,0.0
Jane Kerr,128.0,128.77091,128.77091,131.88103999999998,145.88103999999998,0.0,0.0,0.0,0.0,0.0
Glen Mcgill,117.0,118.65194999999999,125.65194999999999,129.65195,0.0,0.0,0.0,0.0,0.0,0.0
Brian Mills,716.0,717.3215600000001,719.3215600000001,721.3215600000001,729.3215600000001,764.3215600000001,803.32156,837.76208,866.82305,0.0
Derek Noble,750.0,752.3127300000001,754.3127300000001,761.5329900000002,774.7532500000001,796.8633800000001,836.8633800000001,1370.63429,1212.0,1212.0
Ian Robertson,88.0,88.88104,103.99117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Sloan,663.0,668.3963700000002,674.7267600000001,686.7267600000002,694.8368900000002,713.8368900000002,740.2774099999999,0.0,0.0,0.0
Bert Thomson,71.0,72.10129999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Vettraino,1362.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0
Vikki Wilton,799.0,927.631840000001,938.0723600000014,943.0723600000011,989.0635300000004,995.1736599999999,1023.39392,1066.70665,1081.5827199999999,1166.23447
