Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Naz Anis-Miah,1292.0,1308.0,1314.0,1382.0,1383.3786200000002,1390.4637200000002,1409.39081,1534.0718600000002,1568.9373699999999
Lynn Ballantyne Wardlaw,1316.0,1340.0,1344.0,1408.0,1409.99134,1425.0934600000003,1446.91191,1543.7343099999998,1601.93805
James Calder,1523.0,1528.0,1542.0,1586.0,1559.0,1559.0,1559.0,1559.0,1559.0
Tom Freeman,279.0,288.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0
Cara Hilton,1505.0,1508.0,1513.0,1550.0,1558.45894,1794.07166,1559.0,1559.0,1559.0
Paul Lynch,105.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Paterson,304.0,308.0,318.0,327.0,328.48074,0.0,0.0,0.0,0.0
David Ross,825.0,826.0,846.0,855.0,860.6336200000001,878.8719000000001,917.74357,1007.95089,0.0
Rob Thompson,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin John Willcocks,541.0,564.0,580.0,611.0,613.4168400000001,619.4849200000001,641.8386,0.0,0.0
