Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
John Anderson,912.0,918.0155200000002,930.2303600000001,932.2303600000001,941.5526200000002,945.31402,974.1546800000001,0.0,0.0,0.0
Neil Craig,51.0,51.69823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth Elder,1184.0,1193.4529600000008,1195.5603800000001,1214.0437700000002,1245.1716800000004,1276.4852600000008,1562.12095,1926.80457,1797.0,1797.0
Anthea Irwin,184.0,187.81340999999995,193.86711999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul A Khan,463.0,469.49891000000025,477.4989100000002,490.66004000000027,526.0565000000003,554.7435399999999,0.0,0.0,0.0,0.0
Akhter Khan,344.0,354.09748,362.20489999999995,411.38651999999996,0.0,0.0,0.0,0.0,0.0,0.0
Hanzala Malik,1192.0,1196.0819600000002,1197.0819600000002,1203.2430900000002,1267.9413200000004,1277.7298799999999,1379.7196,1433.01299,1458.9457,2270.21056
Martin Rhodes,1080.0,1085.8006800000003,1087.8006800000003,1092.9081000000003,1114.2303600000002,1125.9073800000003,1160.0143300000002,1228.60063,1249.0303199999998,0.0
George A Roberts,1899.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0
Martha Ferguson Wardrop,1675.0,1705.6684099999984,1708.722119999999,1778.7426099999996,1924.2542500000002,1797.0,1797.0,1797.0,1797.0,1797.0
