Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Gilbert Davidson,2272.0,1673.0,1673.0,1673.0,1673.0,1673.0,1673.0,1673.0,1673.0,1673.0
John France,485.0,496.60016,516.6545900000001,518.6645900000001,538.52017,543.60694,574.6730600000001,629.07777,691.05522,0.0
Gerald Leonard,1475.0,1819.5774799999979,1819.5774799999979,1673.0,1673.0,1673.0,1673.0,1673.0,1673.0,1673.0
Stewart Macdonald,186.0,196.01832,238.15288,240.48508000000004,254.17041999999995,283.092,0.0,0.0,0.0,0.0
John C Macpherson,228.0,240.39108000000004,280.09479999999996,284.75482999999986,302.57795999999996,311.50733999999994,367.02448,0.0,0.0,0.0
Catherine Mcmaster,1040.0,1123.3102400000002,1167.4705,1273.3585200000002,1283.9607100000003,1306.66165,1343.6078,1413.42547,1531.63226,1691.19783
Andy Mcpake,129.0,134.80008,171.46524999999994,172.74592999999996,178.59028999999995,0.0,0.0,0.0,0.0,0.0
Joanne Reilly,350.0,365.02748,431.4704400000002,434.2434800000002,454.5142100000002,509.06803,547.1357,592.17378,0.0,0.0
George Savage,100.0,102.10912,120.54299,121.45464000000001,0.0,0.0,0.0,0.0,0.0,0.0
Grant R Thoms,2098.0,2098.0,1673.0,1673.0,1673.0,1673.0,1673.0,1673.0,1673.0,1673.0
