Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
Margaret Bean,135.0,139.78232999999997,143.25032,144.60926,0.0
Graham Campbell,339.0,351.75288,358.5763199999999,362.8708199999999,410.14225999999985
Graeme Dickson,173.0,176.41594999999998,178.54502,203.47721999999996,209.51744999999994
Phil Greene,1300.0,1327.0998699999996,1336.3363599999998,1340.90962,1374.0855700000002
Patrick Mcaleer,134.0,140.14871,143.75895,150.77235999999996,162.73398999999995
Robert G C Sawers,85.0,86.82184000000001,88.39636000000002,0.0,0.0
Kenny Smith,135.0,137.50502999999998,138.78505,151.84395,154.90284999999997
Allan Stewart,1752.0,1353.0,1353.0,1353.0,1353.0
John H Stuart,168.0,176.88147000000004,183.03307999999993,186.33311999999992,187.20641999999998
James Todd,1189.0,1437.6811600000005,1353.0,1353.0,1353.0
