Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Margaret Bean,103.0,115.10032000000001,115.24514,160.97453000000002,164.48516999999998,167.92674,0.0,0.0,0.0
James Coleman,2894.0,1597.0,1597.0,1597.0,1597.0,1597.0,1597.0,1597.0,1597.0
Marie Garrity,1154.0,2233.16928,2233.16928,1597.0,1597.0,1597.0,1597.0,1597.0,1597.0
Raymond Colin Mccrae,413.0,424.65216000000004,424.88610000000006,451.30694,466.29884000000004,486.04976999999997,492.29969000000006,504.07594000000006,538.30745
James David Mchale,65.0,70.37792,70.55616,92.19331,0.0,0.0,0.0,0.0,0.0
Andy Muir,146.0,175.1304,175.69853999999998,226.78965000000002,233.85111000000003,252.09478000000004,280.22362999999996,346.06201999999996,0.0
Austin Sheridan,1357.0,1395.5417599999998,1410.5139199999999,1478.6274999999996,1493.07919,1505.2286199999999,1528.58439,1571.8960299999999,1636.20091
Arthur Mistythackeray,91.0,96.37792000000002,96.46704,106.73065,109.44527,0.0,0.0,0.0,0.0
David Jamieson Turner,1615.0,1615.0,1597.0,1597.0,1597.0,1597.0,1597.0,1597.0,1597.0
David Weir,143.0,153.75584000000003,154.11231999999998,202.81807000000003,217.77956999999998,236.29595,268.8662,0.0,0.0
