Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Alexander Belic,1460.0,1462.0,1467.0,1485.0,1491.0,1615.0,1544.0,1544.0
Kamran Butt,623.0,624.0,628.0,638.0,664.0,0.0,0.0,0.0
Paul Robert Donnelly,154.0,160.0,161.0,0.0,0.0,0.0,0.0,0.0
Jamie Dyer,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elaine Gallagher,1395.0,1405.0,1431.0,1504.0,1522.0,1544.0,1544.0,1544.0
Sam Glasgow-Jackson,110.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
Mhairi Hunter,1185.0,1188.0,1193.0,1201.0,1204.0,1237.0,1288.5211199999999,0.0
Tariq Parvez,317.0,317.0,329.0,330.0,0.0,0.0,0.0,0.0
James Scanlon,1161.0,1164.0,1183.0,1196.0,1298.0,1338.0,1342.48392,1593.79272
Soryia Siddique,1271.0,1274.0,1288.0,1299.0,1341.0,1513.0,1517.74768,1742.5504
