Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Kevin T Blades,133.0,136.46931,136.52700999999993,139.79672,165.88336999999996,184.43131,212.84114,0.0,0.0,0.0
Bobby Cochrane,150.0,155.33740000000003,155.37360999999999,168.64331999999996,172.91302999999994,181.25202,0.0,0.0,0.0,0.0
Scott Gallacher,932.0,934.6687,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0
Lewis Dominic Hutton,72.0,75.46931,75.55630999999998,76.82531,81.36402,0.0,0.0,0.0,0.0,0.0
Tristan Lindsay,47.0,49.401830000000004,49.44087999999999,53.44158999999998,0.0,0.0,0.0,0.0,0.0,0.0
Shaun Macaulay,1274.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0
Sylvia Mallinson,660.0,674.6778500000001,674.7964200000005,676.7992600000005,678.8021,697.0895600000001,758.6362699999999,788.45747,790.94357,0.0
Louise Mcphater,729.0,738.07358,738.1403200000003,746.1410300000002,748.14245,757.4199699999999,792.9572599999999,814.4995200000001,816.70047,1472.92542
Chloe Robertson,623.0,894.6736599999995,894.6857799999993,905.9526499999996,906.4863899999998,909.55458,922.42267,948.0935000000001,934.0,934.0
Colin Turbett,46.0,47.601220000000005,47.61561000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
