Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Jack Clark,123.0,124.51956,128.06043,130.17606,0.0,0.0,0.0,0.0,0.0,0.0
Beth Douglas,188.0,196.35758,237.5591800000002,251.96409000000008,283.14537000000007,296.06592,359.55978,0.0,0.0,0.0
Andy Doyle,211.0,214.79890000000003,222.80270000000007,227.23743000000005,232.72195000000002,284.65127,0.0,0.0,0.0,0.0
Karen Kennedy,850.0,859.1173600000001,870.4277900000004,877.6312600000005,901.2914600000004,924.0950800000002,971.2105200000001,1065.9232200000001,973.0,973.0
Kenny Maclaren,1303.0,973.0,973.0,973.0,973.0,973.0,973.0,973.0,973.0,973.0
Mags Maclaren,811.0,1100.2229199999979,973.0,973.0,973.0,973.0,973.0,973.0,973.0,973.0
John Mcintyre,657.0,659.27934,661.3095700000001,664.3388500000001,691.7092300000002,717.1439600000001,751.5421299999999,779.71578,786.23636,941.3009
John Goudie Mcintyre,185.0,187.78585999999999,195.09736999999998,197.70479999999995,200.76335999999995,0.0,0.0,0.0,0.0,0.0
Sandra Webster,42.0,42.506519999999995,48.82697999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy Williams,493.0,498.31846,505.7207900000002,512.49513,526.97965,555.18312,592.6674499999999,638.96848,702.78478,0.0
