Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Richie Brian,194.0,194.17697,195.17696999999998,197.17696999999998,203.17696999999998,217.17696999999998,0.0,0.0,0.0,0.0
Kris Chapman,262.0,262.21860999999996,262.21861,263.21861,265.21861,328.21861,383.24983999999995,419.80156999999997,464.89526,0.0
Brian George Davidson,178.0,178.06246,179.06246,179.06246,181.06246,0.0,0.0,0.0,0.0,0.0
Jim Hunter,222.0,222.16655999999995,224.16655999999992,228.16655999999995,244.17696999999998,266.19778999999994,296.19778999999994,327.66624,0.0,0.0
Andy Lovie,26.0,26.02082,32.03123,33.03123,0.0,0.0,0.0,0.0,0.0,0.0
Andrew May,672.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0
Jean Morrison,456.0,456.47886,457.47886,457.47886,458.47886,475.48927,521.51009,534.96813,597.041,710.23879
Nathan Morrison,381.0,381.2602499999999,382.2602499999999,385.26025,386.2602499999999,391.27065999999996,414.28106999999994,443.77034,494.81198,570.9368999999999
Andy Rudgley,14.0,14.02082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Wiseman West,224.0,229.26745999999983,230.26745999999986,237.27786999999984,238.28827999999984,248.30909999999992,268.41319999999996,0.0,0.0,0.0
Ross Alexander Willett,29.0,29.01041,29.01041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
