Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Yvonne Allan,336.0,392.12266999999986,393.15796999999975,395.77810999999974,398.8069199999999,412.3183899999999,0.0,0.0,0.0,0.0
Laurie Carnie,619.0,624.8913299999999,668.1767299999999,681.2260299999998,688.6346999999998,694.99407,723.7211299999999,741.0107099999999,824.5185200000001,924.40207
George Carr,1217.0,1217.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0
Alison Elizabeth Mcbean Evison,623.0,662.6889599999998,667.4710600000001,673.7811299999998,698.6210599999999,729.80197,791.6544200000001,893.56317,1111.48191,1348.9531
Shona Ewen,377.0,412.65804999999983,414.77794999999975,417.77794999999975,421.9751499999998,430.1456399999998,561.28172,679.5560600000001,788.98557,0.0
Douglas Fraser,194.0,375.3909499999998,375.98254999999983,380.3912199999998,397.94156999999973,446.6384999999998,506.48087999999984,0.0,0.0,0.0
Diane Elizabeth Laurenson,52.0,56.03091000000001,56.22811000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Allen Neill,75.0,85.54238000000001,86.23258000000004,87.23258000000004,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Stelfox,1677.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0
Dave Stewart,513.0,546.1774899999998,549.62849,557.98786,572.6163199999999,591.9368099999999,621.6864599999999,671.59276,0.0,0.0
Leigh Wilson,99.0,170.62616999999992,170.92196999999993,179.23203999999996,185.90147999999996,0.0,0.0,0.0,0.0,0.0
