Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Angela Blacklock,1674.0,1674.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0
Miles Briggs,637.0,640.5697199999998,644.2255199999997,645.0294999999998,651.0426799999996,653.0426799999996,656.0558599999996,675.28316,784.03264,816.34465,0.0
Deidre Leanne Brock,1735.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0
Maggie Chapman,1593.0,1593.0,1593.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0
Nick Gardner,937.0,947.0515799999998,1029.79452,1035.13242,1050.8573400000002,1065.2278900000001,1089.53271,1115.2970500000001,1225.53087,1350.42974,1519.38551
John Hein,69.0,71.06668000000002,72.04156,72.89826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Mcardle,109.0,110.59698,111.38907000000002,113.07611000000003,119.34139000000003,128.5358,0.0,0.0,0.0,0.0,0.0
Jimmy Mcintosh,91.0,92.22122000000002,93.01331000000002,93.73821,97.93262000000001,0.0,0.0,0.0,0.0,0.0,0.0
Jamie Paterson,400.0,403.4757799999999,406.70506999999986,410.05278999999973,424.51416000000023,429.5668800000002,434.65914000000015,445.02489000000014,0.0,0.0,0.0
Seumas Ross Skinner,502.0,630.6038600000004,632.2489700000003,635.3858100000004,639.9345900000003,649.8937000000003,674.2647500000002,708.06234,741.56713,0.0,0.0
Alex Wilson,109.0,110.31516,110.86353,111.64115000000001,112.65433000000002,153.60163,181.49620999999996,0.0,0.0,0.0,0.0
