Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Shaukat Butt,1371.0,1412.4556999999995,1415.3253999999997,1417.6152999999997,1449.0647999999997,1503.1233999999997,1550.5304999999998,1594.6900999999998,1675.7356
Michael Cobley,394.0,449.66079999999977,455.9799999999997,468.42949999999973,485.9082999999999,0.0,0.0,0.0,0.0
Stephen Dornan,1590.0,1651.1688999999997,1657.9082999999996,1666.9082999999996,1696.4880999999993,1743.0971999999997,1812.6345999999999,1852.9537999999995,1921.6800999999998
John Flanagan,1657.0,1705.1233999999995,1711.5728999999997,1718.8627999999997,1747.8627999999997,1781.4718999999996,1845.4587999999999,1881.0678999999998,1984.1427
Alan L Hughes,138.0,146.697,147.27680000000004,0.0,0.0,0.0,0.0,0.0,0.0
Allison Hunter,2694.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0
Will Jess,377.0,473.82659999999964,506.5952999999997,517.6245999999998,555.5528999999998,711.4549999999999,842.7642000000001,977.8097,0.0
Irene Lang,398.0,505.5528999999994,548.6700999999996,557.2498999999996,580.3084999999999,600.8165999999999,0.0,0.0,0.0
Patricia Mcintyre,450.0,480.43949999999984,481.0192999999998,531.7587,607.7879999999999,675.6152999999999,690.9930999999999,0.0,0.0
George Douglas Mcnee,377.0,399.0323999999999,401.4818999999999,408.48189999999994,0.0,0.0,0.0,0.0,0.0
Carolina Perez,114.0,138.35160000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
