Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Ian M Beattie,139.0,151.96885000000003,162.94689999999997,163.76506999999998,168.37112999999994,172.09178999999997,0.0,0.0,0.0,0.0,0.0
Bill Butler,2462.0,1432.0,1432.0,1432.0,1432.0,1432.0,1432.0,1432.0,1432.0,1432.0,1432.0
Norman Fraser,80.0,97.98904999999999,103.76892,104.26081,107.80430000000001,0.0,0.0,0.0,0.0,0.0,0.0
Rashid Hussain,948.0,1683.8776499999992,1432.0,1432.0,1432.0,1432.0,1432.0,1432.0,1432.0,1432.0,1432.0
Shabbar Jaffri,1015.0,1035.9175,1080.0710699999997,1108.8637900000003,1121.9807400000002,1137.01638,1166.8629999999998,1192.55512,1210.7729,1233.46581,1343.34873
Archie E Linnegan,85.0,91.27525,95.48599999999999,95.71489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Mcdonald,1421.0,1472.0386999999994,1472.0386999999996,1432.0,1432.0,1432.0,1432.0,1432.0,1432.0,1432.0,1432.0
Chris Morgan,267.0,281.2239,287.10740999999996,287.69668999999993,309.87068,331.8279,337.84729999999996,356.07014000000004,369.08954,0.0,0.0
Tommy Morrison,220.0,250.12120000000002,269.16682999999995,270.8486499999999,287.53074999999995,294.6446699999999,310.34392,346.92355999999995,0.0,0.0,0.0
Juliet Neal,151.0,167.734,181.41624999999993,183.14997999999997,194.17438999999993,217.52015999999995,254.98602,0.0,0.0,0.0,0.0
William O'Rourke,369.0,403.72305,424.55583,425.9158199999999,430.48650000000004,434.7413,452.01849,480.83213,675.7601099999999,751.50391,0.0
