Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Imran Alam,1272.0,1281.0,1295.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0
Ricky Bell,1181.0,1186.0,1190.0,1190.1963500000004,1200.1963500000004,1225.2032800000004,1394.2079,1292.0,1292.0,1292.0
William Bonnar,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Dornan,794.0,803.0,808.0,808.12012,824.12012,846.1201200000002,1073.1247399999997,1154.78606,1187.9511400000001,1275.8235399999999
Uche Gladys Emordi,132.0,143.0,147.0,147.04619999999997,156.04619999999997,0.0,0.0,0.0,0.0,0.0
Funmi Fajemiseye,498.0,502.0,503.0,503.0277200000001,510.0277200000001,533.0300300000001,0.0,0.0,0.0,0.0
John Flanagan,124.0,128.0,130.0,130.07623,0.0,0.0,0.0,0.0,0.0,0.0
Ruth S Hall,644.0,651.0,668.0,669.9103700000003,704.9519500000002,716.9658099999999,732.9773599999999,736.0598,1042.14312,0.0
Dan Hutchison,975.0,1011.0,1025.0,1025.1154999999999,1037.11781,1057.11781,1136.12243,1144.91939,1186.9286299999999,1359.1090100000001
Neil O'Docherty,97.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mamun Rashid,644.0,645.0,665.0,665.20097,671.21021,679.21021,684.21252,684.7262599999999,0.0,0.0
