Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Robert Barr,388.0,464.5742799999998,539.4522999999995,542.4726799999995,550.6832799999997,568.0751099999998,583.0110699999999,597.7009199999999,700.4900499999999,701.74585,0.0
John Bell,806.0,892.6212599999993,910.5643800000001,919.2136500000004,923.0282700000002,924.3859700000004,937.5456499999999,1095.24435,1181.96285,1175.0,1175.0
Anthea Dickson,1362.0,1362.0,1362.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0
Carol Ann Dobson,27.0,31.88772,32.9229,34.02122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Margaret Johnson,844.0,923.56122,935.2932599999999,1098.6683600000006,1100.3870100000001,1103.47317,1108.9712,1128.35039,1141.16772,1141.91865,1279.02698
Ted Nevill,327.0,374.5195,456.4712499999997,457.15769999999975,460.33022999999974,463.64958999999993,472.57291,480.1893,0.0,0.0,0.0
Donald L Reid,1613.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0
James Robson,190.0,219.8693999999999,225.04529999999983,226.69277999999986,226.69277999999989,228.23585999999992,235.0504799999999,0.0,0.0,0.0,0.0
Ronnie Stalker,1420.0,1420.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0
Catherine Williamson,55.0,63.68928000000002,66.79482000000002,67.34398000000002,70.78805000000003,72.04674000000003,0.0,0.0,0.0,0.0,0.0
John Willis,12.0,34.537819999999996,36.60818,36.60818,38.052249999999994,0.0,0.0,0.0,0.0,0.0,0.0
