Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Graeme Campbell,502.0,503.24127000000004,505.24127000000004,516.37193,525.43726,580.6332499999999,808.02523,823.5490799999999,853.00459,861.85619,1100.28972
Margaret Cooper,670.0,673.0705100000004,674.0705100000001,685.2011700000002,698.2665000000002,732.3318300000002,759.3318300000002,764.05452,1158.76388,1073.0,1073.0
Isobel Dorman,1148.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0
Lynn Filshie,409.0,411.61320000000023,417.6132000000003,428.6785300000001,459.6785300000001,554.8091900000001,0.0,0.0,0.0,0.0,0.0
Allan Finnie,624.0,625.3719300000001,634.50259,641.56792,649.5679200000001,666.56792,718.69858,724.5113299999999,734.66539,739.43732,0.0
John Hamilton,494.0,494.91462,494.91462,498.17594,521.1759400000001,564.1759400000001,588.3066000000001,596.5909200000001,0.0,0.0,0.0
William Holman,866.0,922.706440000001,931.8371000000009,949.7517200000007,992.7970000000005,1061.2543100000003,1162.5609100000001,1073.0,1073.0,1073.0,1073.0
Jim Malloy,339.0,340.37192999999996,340.37192999999996,357.37192999999996,380.50258999999994,0.0,0.0,0.0,0.0,0.0,0.0
Melvyn Donald Randall,37.0,37.391980000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Weir,94.0,96.35188000000002,99.35188000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erica Young,181.0,183.02523,185.09055999999998,189.22122000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
